212400 3
20 0 0.000000
20 1 0.000000
20 2 0.000000
21 0 0.000000
21 1 0.000000
21 2 0.000000
22 0 0.000000
22 1 0.000000
22 2 0.000000
23 0 0.000000
23 1 0.000000
23 2 0.000000
24 0 0.000000
24 1 0.000000
24 2 0.000000
25 0 0.000000
25 1 0.000000
25 2 0.000000
26 0 0.000000
26 1 0.000000
26 2 0.000000
27 0 0.000000
27 1 0.000000
27 2 0.000000
28 0 0.000000
28 1 0.000000
28 2 0.000000
29 0 0.000000
29 1 0.000000
29 2 0.000000
30 0 0.000000
30 1 0.000000
30 2 0.000000
31 0 0.000000
31 1 0.000000
31 2 0.000000
32 0 0.000000
32 1 0.000000
32 2 0.000000
33 0 0.000000
33 1 0.000000
33 2 0.000000
34 0 0.000000
34 1 0.000000
34 2 0.000000
35 0 0.000000
35 1 0.000000
35 2 0.000000
36 0 0.000000
36 1 0.000000
36 2 0.000000
37 0 0.000000
37 1 0.000000
37 2 0.000000
38 0 0.000000
38 1 0.000000
38 2 0.000000
39 0 0.000000
39 1 0.000000
39 2 0.000000
2428 0 0.000000
2428 1 0.000000
2428 2 0.000000
2429 0 0.000000
2429 1 0.000000
2429 2 0.000000
2430 0 0.000000
2430 1 0.000000
2430 2 0.000000
2431 0 0.000000
2431 1 0.000000
2431 2 0.000000
2432 0 0.000000
2432 1 0.000000
2432 2 0.000000
2433 0 0.000000
2433 1 0.000000
2433 2 0.000000
2434 0 0.000000
2434 1 0.000000
2434 2 0.000000
2435 0 0.000000
2435 1 0.000000
2435 2 0.000000
2436 0 0.000000
2436 1 0.000000
2436 2 0.000000
2437 0 0.000000
2437 1 0.000000
2437 2 0.000000
2438 0 0.000000
2438 1 0.000000
2438 2 0.000000
2439 0 0.000000
2439 1 0.000000
2439 2 0.000000
2440 0 0.000000
2440 1 0.000000
2440 2 0.000000
2441 0 0.000000
2441 1 0.000000
2441 2 0.000000
2442 0 0.000000
2442 1 0.000000
2442 2 0.000000
2443 0 0.000000
2443 1 0.000000
2443 2 0.000000
2444 0 0.000000
2444 1 0.000000
2444 2 0.000000
2445 0 0.000000
2445 1 0.000000
2445 2 0.000000
2446 0 0.000000
2446 1 0.000000
2446 2 0.000000
2447 0 0.000000
2447 1 0.000000
2447 2 0.000000
2448 0 0.000000
2448 1 0.000000
2448 2 0.000000
2449 0 0.000000
2449 1 0.000000
2449 2 0.000000
2450 0 0.000000
2450 1 0.000000
2450 2 0.000000
2451 0 0.000000
2451 1 0.000000
2451 2 0.000000
2452 0 0.000000
2452 1 0.000000
2452 2 0.000000
2453 0 0.000000
2453 1 0.000000
2453 2 0.000000
2454 0 0.000000
2454 1 0.000000
2454 2 0.000000
2455 0 0.000000
2455 1 0.000000
2455 2 0.000000
2456 0 0.000000
2456 1 0.000000
2456 2 0.000000
2457 0 0.000000
2457 1 0.000000
2457 2 0.000000
2458 0 0.000000
2458 1 0.000000
2458 2 0.000000
2459 0 0.000000
2459 1 0.000000
2459 2 0.000000
2460 0 0.000000
2460 1 0.000000
2460 2 0.000000
2461 0 0.000000
2461 1 0.000000
2461 2 0.000000
2462 0 0.000000
2462 1 0.000000
2462 2 0.000000
2463 0 0.000000
2463 1 0.000000
2463 2 0.000000
2464 0 0.000000
2464 1 0.000000
2464 2 0.000000
2465 0 0.000000
2465 1 0.000000
2465 2 0.000000
2466 0 0.000000
2466 1 0.000000
2466 2 0.000000
2467 0 0.000000
2467 1 0.000000
2467 2 0.000000
2468 0 0.000000
2468 1 0.000000
2468 2 0.000000
2469 0 0.000000
2469 1 0.000000
2469 2 0.000000
2470 0 0.000000
2470 1 0.000000
2470 2 0.000000
2471 0 0.000000
2471 1 0.000000
2471 2 0.000000
2472 0 0.000000
2472 1 0.000000
2472 2 0.000000
2473 0 0.000000
2473 1 0.000000
2473 2 0.000000
2474 0 0.000000
2474 1 0.000000
2474 2 0.000000
2475 0 0.000000
2475 1 0.000000
2475 2 0.000000
2476 0 0.000000
2476 1 0.000000
2476 2 0.000000
2477 0 0.000000
2477 1 0.000000
2477 2 0.000000
2478 0 0.000000
2478 1 0.000000
2478 2 0.000000
2479 0 0.000000
2479 1 0.000000
2479 2 0.000000
2480 0 0.000000
2480 1 0.000000
2480 2 0.000000
2481 0 0.000000
2481 1 0.000000
2481 2 0.000000
2482 0 0.000000
2482 1 0.000000
2482 2 0.000000
2483 0 0.000000
2483 1 0.000000
2483 2 0.000000
2484 0 0.000000
2484 1 0.000000
2484 2 0.000000
2485 0 0.000000
2485 1 0.000000
2485 2 0.000000
2486 0 0.000000
2486 1 0.000000
2486 2 0.000000
2487 0 0.000000
2487 1 0.000000
2487 2 0.000000
2488 0 0.000000
2488 1 0.000000
2488 2 0.000000
2489 0 0.000000
2489 1 0.000000
2489 2 0.000000
2490 0 0.000000
2490 1 0.000000
2490 2 0.000000
2491 0 0.000000
2491 1 0.000000
2491 2 0.000000
2492 0 0.000000
2492 1 0.000000
2492 2 0.000000
2493 0 0.000000
2493 1 0.000000
2493 2 0.000000
2494 0 0.000000
2494 1 0.000000
2494 2 0.000000
2495 0 0.000000
2495 1 0.000000
2495 2 0.000000
2496 0 0.000000
2496 1 0.000000
2496 2 0.000000
2497 0 0.000000
2497 1 0.000000
2497 2 0.000000
2498 0 0.000000
2498 1 0.000000
2498 2 0.000000
2499 0 0.000000
2499 1 0.000000
2499 2 0.000000
2500 0 0.000000
2500 1 0.000000
2500 2 0.000000
2501 0 0.000000
2501 1 0.000000
2501 2 0.000000
2502 0 0.000000
2502 1 0.000000
2502 2 0.000000
2503 0 0.000000
2503 1 0.000000
2503 2 0.000000
2504 0 0.000000
2504 1 0.000000
2504 2 0.000000
2505 0 0.000000
2505 1 0.000000
2505 2 0.000000
2506 0 0.000000
2506 1 0.000000
2506 2 0.000000
2507 0 0.000000
2507 1 0.000000
2507 2 0.000000
2508 0 0.000000
2508 1 0.000000
2508 2 0.000000
2509 0 0.000000
2509 1 0.000000
2509 2 0.000000
2510 0 0.000000
2510 1 0.000000
2510 2 0.000000
2511 0 0.000000
2511 1 0.000000
2511 2 0.000000
2512 0 0.000000
