1266 3
8 0 1.000000
8 1 0.000000
8 2 0.000000
9 0 1.000000
9 1 0.000000
9 2 0.000000
16 0 1.000000
16 1 0.000000
16 2 0.000000
17 0 1.000000
17 1 0.000000
17 2 0.000000
28 0 1.000000
28 1 0.000000
28 2 0.000000
29 0 1.000000
29 1 0.000000
29 2 0.000000
30 0 1.000000
30 1 0.000000
30 2 0.000000
39 0 1.000000
39 1 0.000000
39 2 0.000000
392 0 1.000000
392 1 0.000000
392 2 0.000000
393 0 1.000000
393 1 0.000000
393 2 0.000000
394 0 1.000000
394 1 0.000000
394 2 0.000000
395 0 1.000000
395 1 0.000000
395 2 0.000000
396 0 1.000000
396 1 0.000000
396 2 0.000000
397 0 1.000000
397 1 0.000000
397 2 0.000000
398 0 1.000000
398 1 0.000000
398 2 0.000000
399 0 1.000000
399 1 0.000000
399 2 0.000000
400 0 1.000000
400 1 0.000000
400 2 0.000000
401 0 1.000000
401 1 0.000000
401 2 0.000000
402 0 1.000000
402 1 0.000000
402 2 0.000000
403 0 1.000000
403 1 0.000000
403 2 0.000000
404 0 1.000000
404 1 0.000000
404 2 0.000000
405 0 1.000000
405 1 0.000000
405 2 0.000000
406 0 1.000000
406 1 0.000000
406 2 0.000000
407 0 1.000000
407 1 0.000000
407 2 0.000000
408 0 1.000000
408 1 0.000000
408 2 0.000000
409 0 1.000000
409 1 0.000000
409 2 0.000000
410 0 1.000000
410 1 0.000000
410 2 0.000000
411 0 1.000000
411 1 0.000000
411 2 0.000000
412 0 1.000000
412 1 0.000000
412 2 0.000000
413 0 1.000000
413 1 0.000000
413 2 0.000000
414 0 1.000000
414 1 0.000000
414 2 0.000000
415 0 1.000000
415 1 0.000000
415 2 0.000000
416 0 1.000000
416 1 0.000000
416 2 0.000000
417 0 1.000000
417 1 0.000000
417 2 0.000000
418 0 1.000000
418 1 0.000000
418 2 0.000000
419 0 1.000000
419 1 0.000000
419 2 0.000000
420 0 1.000000
420 1 0.000000
420 2 0.000000
421 0 1.000000
421 1 0.000000
421 2 0.000000
422 0 1.000000
422 1 0.000000
422 2 0.000000
423 0 1.000000
423 1 0.000000
423 2 0.000000
424 0 1.000000
424 1 0.000000
424 2 0.000000
425 0 1.000000
425 1 0.000000
425 2 0.000000
