1806 3
8 0 0.000000
8 1 0.000000
8 2 0.000000
11 0 0.000000
11 1 0.000000
11 2 0.000000
13 0 0.000000
13 1 0.000000
13 2 0.000000
15 0 0.000000
15 1 0.000000
15 2 0.000000
36 0 0.000000
36 1 0.000000
36 2 0.000000
37 0 0.000000
37 1 0.000000
37 2 0.000000
38 0 0.000000
38 1 0.000000
38 2 0.000000
39 0 0.000000
39 1 0.000000
39 2 0.000000
1103 0 0.000000
1103 1 0.000000
1103 2 0.000000
1104 0 0.000000
1104 1 0.000000
1104 2 0.000000
1105 0 0.000000
1105 1 0.000000
1105 2 0.000000
1106 0 0.000000
1106 1 0.000000
1106 2 0.000000
1107 0 0.000000
1107 1 0.000000
1107 2 0.000000
1108 0 0.000000
1108 1 0.000000
1108 2 0.000000
1109 0 0.000000
1109 1 0.000000
1109 2 0.000000
1110 0 0.000000
1110 1 0.000000
1110 2 0.000000
1111 0 0.000000
1111 1 0.000000
1111 2 0.000000
1112 0 0.000000
1112 1 0.000000
1112 2 0.000000
1113 0 0.000000
1113 1 0.000000
1113 2 0.000000
1114 0 0.000000
1114 1 0.000000
1114 2 0.000000
1115 0 0.000000
1115 1 0.000000
1115 2 0.000000
1116 0 0.000000
1116 1 0.000000
1116 2 0.000000
1117 0 0.000000
1117 1 0.000000
1117 2 0.000000
1118 0 0.000000
1118 1 0.000000
1118 2 0.000000
1119 0 0.000000
1119 1 0.000000
1119 2 0.000000
1120 0 0.000000
1120 1 0.000000
1120 2 0.000000
1121 0 0.000000
1121 1 0.000000
1121 2 0.000000
1122 0 0.000000
1122 1 0.000000
1122 2 0.000000
1123 0 0.000000
1123 1 0.000000
1123 2 0.000000
1124 0 0.000000
1124 1 0.000000
1124 2 0.000000
1125 0 0.000000
1125 1 0.000000
1125 2 0.000000
1126 0 0.000000
1126 1 0.000000
1126 2 0.000000
1127 0 0.000000
1127 1 0.000000
1127 2 0.000000
1128 0 0.000000
1128 1 0.000000
1128 2 0.000000
1129 0 0.000000
1129 1 0.000000
1129 2 0.000000
1130 0 0.000000
1130 1 0.000000
1130 2 0.000000
1131 0 0.000000
1131 1 0.000000
1131 2 0.000000
1132 0 0.000000
1132 1 0.000000
1132 2 0.000000
1133 0 0.000000
1133 1 0.000000
1133 2 0.000000
1134 0 0.000000
1134 1 0.000000
1134 2 0.000000
1135 0 0.000000
1135 1 0.000000
1135 2 0.000000
1136 0 0.000000
1136 1 0.000000
1136 2 0.000000
1137 0 0.000000
1137 1 0.000000
1137 2 0.000000
1138 0 0.000000
1138 1 0.000000
1138 2 0.000000
1139 0 0.000000
1139 1 0.000000
1139 2 0.000000
1140 0 0.000000
1140 1 0.000000
1140 2 0.000000
1141 0 0.000000
1141 1 0.000000
1141 2 0.000000
1142 0 0.000000
1142 1 0.000000
1142 2 0.000000
1143 0 0.000000
1143 1 0.000000
1143 2 0.000000
1144 0 0.000000
1144 1 0.000000
1144 2 0.000000
1145 0 0.000000
1145 1 0.000000
1145 2 0.000000
1146 0 0.000000
1146 1 0.000000
1146 2 0.000000
1147 0 0.000000
1147 1 0.000000
1147 2 0.000000
1148 0 0.000000
1148 1 0.000000
1148 2 0.000000
1149 0 0.000000
1149 1 0.000000
1149 2 0.000000
1150 0 0.000000
1150 1 0.000000
1150 2 0.000000
1151 0 0.000000
1151 1 0.000000
1151 2 0.000000
1152 0 0.000000
1152 1 0.000000
1152 2 0.000000
1153 0 0.000000
1153 1 0.000000
1153 2 0.000000
1154 0 0.000000
1154 1 0.000000
1154 2 0.000000
1155 0 0.000000
1155 1 0.000000
1155 2 0.000000
1156 0 0.000000
1156 1 0.000000
1156 2 0.000000
1157 0 0.000000
1157 1 0.000000
1157 2 0.000000
1158 0 0.000000
1158 1 0.000000
1158 2 0.000000
1159 0 0.000000
1159 1 0.000000
1159 2 0.000000
1160 0 0.000000
1160 1 0.000000
1160 2 0.000000
1161 0 0.000000
1161 1 0.000000
1161 2 0.000000
1162 0 0.000000
1162 1 0.000000
1162 2 0.000000
